complaint_id,date_received,district_occurrence,general_cap_classification,summary,incident_date_extract,incident_time_extract,objectid
17-0652,2017-12-31 05:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 12-29-17 at 7:53am, they did not receive proper service from officers assigned to the 26th District.",2017-12-29,07:53 AM,3907
17-0653,2017-12-31 05:00:00+00,1900,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-23-17 at 5:30pm, they were treated unprofessionally by an officer assigned to the 19th District.",2017-12-23,05:30 PM,3908
23-0092,2023-03-03 05:00:00+00,7700,LACK OF SERVICE,"According to the complainant, on 11-10-22 at 3:12 PM, while in the confines of the Airport Unit, they did not receive proper service from a detective assigned to the Airport Unit. Their baggage was stolen. The complainant states that the detective was assigned and has not kept them informed or returned their phone calls.",2022-11-10,03:12 PM,7201
23-0093,2023-03-08 05:00:00+00,1500,VERBAL ABUSE,"According to the complainant, on 3-5-23 at 3:00 PM, while in the confines of the 15th District, they alleged an improper towing procedure and verbal abuse by a 15th District officer. Their vehicle was stolen prior to being reported and involved in an auto accident. The officer arrived and was rude and demanding. The complainant¿s vehicle was towed and now they are incurring fees.",2023-03-05,03:00 PM,7202
23-0094,2023-03-07 05:00:00+00,0200,LACK OF SERVICE,"According to the complainants, on 3-5-23 at 7:00 PM, while in the confines of the 2nd District, they did not receive proper service from two 2nd District. Officers responded for a landlord tenant issue. The complainants state they were accused of an illegal eviction and issued a citation. The complainants requested a supervisor, but were denied.",2023-03-05,07:00 PM,7203
23-0095,2023-03-07 05:00:00+00,3500,LACK OF SERVICE,"According to the complainant, they did not receive proper service from a 26th District officer. Complainant states they were involved in an auto accident, then was assaulted by the other driver. Police took an assault report, but listed the complainant as the offender.",,,7204
23-0096,2023-03-06 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 3-1-23 at 12:23 AM, while in the confines of the 39th District, they did not receive proper service from a 39th District officer. Police responded for their family member who has a ¿Stay Away Order¿ against a family member¿s partner. The complainant states that the officer failed to enforce the order.",2023-03-01,12:23 AM,7205
23-0097,2023-03-07 05:00:00+00,1800,LACK OF SERVICE,"According to the complainant, on 3-6-23 at 2:42 PM, while in the confines of the 18th District, they did not receive proper service from unknown officers. They called 911 because their child¿s other parent was breaking the windows to their vehicle. Officers responded and investigated the people across the street, but not their child¿s other parent.",2023-03-06,02:42 PM,7206
23-0098,2023-03-08 05:00:00+00,,LACK OF SERVICE,"According to the complainant, on 3-6-23 at 2:30 PM, they did not receive proper service from an unknown call taker assigned to Police Radio. They called 911 numerous times due to a medical emergency, but no one answered the phone.",2023-03-06,02:30 PM,7207
23-0099,2023-03-08 05:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 3-5-23 at 4:05 PM, they did not receive proper service from an unknown dispatcher assigned to Police Radio. They called 911 in regards to an auto accident by a drunk driver. The complainant states that the dispatcher was rude and failed to dispatch a patrol car.",2023-03-05,04:05 PM,7208
23-0100,2023-03-13 04:00:00+00,1200,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-9-23 at 7:40 PM, while in the confines of the 12th District, they were treated unprofessionally by a Highway Patrol Unit officer. They were stopped by police, and they state during the stop, the officer acted in an inappropriate manner.",2023-03-09,07:40 PM,7209
23-0101,2023-03-13 04:00:00+00,0100,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-7-23 at 5:00 PM, while in the confines of the 1st District, they were interviewed by detective at the detective division. The complainant states that the detective was unprofessional towards them on both occasions.",2023-02-07,05:00 PM,7210
23-0102,2023-03-14 04:00:00+00,1800,VERBAL ABUSE,"According to the complainant, on 3-7-23 at 6:42 PM, while in the confines of the 18th District, they did not receive proper service from unknown officers and was verbally abused by an unknown officer. Officers responded and failed to take police action. The complainant also states that an officer yelled and cursed at them.",2023-03-07,06:42 PM,7211
23-0103,2023-03-14 04:00:00+00,1500,HARASSMENT,"According to the complainant, on 3-11-23 at 12:40pm while in the confines of the 15th District they were verbally threatened by an off duty police sergeant. Complainant states they are having on going neighbor disputes with off duty neighbor in reference to parking on the sidewalk.",2023-03-11,12:40 PM,7212
23-0104,2023-03-13 04:00:00+00,0900,LACK OF SERVICE,"According to the complainant, on 3-11-23 at 10:45 PM, while in the confines of the 9th District, they called 911 because they heard a very loud commotion of automobiles and squealing tires. The complainant states that it took officers 25 minutes to respond.",2023-03-11,10:45 PM,7213
23-0105,2023-03-14 04:00:00+00,0200,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 2-21-23 at 11:27 AM, they were improperly stopped and racially profiled by two 2nd District officers. The complainant states they were stopped by police for no reason, and the reason for the stop was due to their race.",2023-02-21,11:27 AM,7214
23-0106,2023-03-14 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 3-12-23 at 6:00 PM, while in the confines of the 6th District, they did not receive proper service from a 6th District officer. The officer responded to an assault. The complainant states the officer failed to ask if they needed medical attention and did not prepare a proper report due to the assailant being affiliated with the police department.",2023-03-12,06:00 PM,7215
23-0107,2023-03-16 04:00:00+00,2500,HARASSMENT,"According to the complainant, on 2-23-23 while in the confines of the 15th District, they were harassed by a detective assigned to East Detective Division. The complainant states they received threats and unauthorized photos and information from their past arrest via text messages. The complaint further states they believe this is in reference to the company they work for as an adjuster after a claim insurance check was cashed.",2023-02-23,,7216
23-0108,2023-03-16 04:00:00+00,1600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-14-23 at 12:00 PM, while in the confines of the 16th District, their home was improperly entered and searched by unknown officers. Officers arrived at their home and demanded entry to the home. Officers refused to show a warrant when asked. Officers flipped furniture over and intimidated the complainant¿s child.",2023-03-14,12:00 PM,7217
23-0109,2023-03-16 04:00:00+00,2500,LACK OF SERVICE,"According to the complainant, on 3-11-23 at approximately 3:30 AM, while in the confines of the 25th District, they did not receive proper service from unknown officers. Officers responded due to a nuisance property having a party. The responding officers failed to take police action and stated that there is nothing that they can do because of the 4th Amendment.",2023-03-11,03:30 AM,7218
23-0110,2023-03-17 04:00:00+00,3900,PHYSICAL ABUSE,"According to the complainant, on 2-22-23 at 10:00 PM, while in the confines of the 39th District, they were treated unprofessionally, verbally abused and improperly stopped by two 39th District officers. While walking, officers pulled up next to them and made inappropriate comments. When the complainant began to record, an officer exited the vehicle, chased them and pointed their firearm at them.",2023-02-22,10:00 PM,7219
23-0111,2023-03-17 04:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 3-7-23 at 5:30 PM, while in the confines of the 39th District, they called 911 six times after being assaulted. When officers arrived, they did not ask them what happened but instead took them into custody. The complainant was handcuffed and placed in the patrol car, while officers spoke to the individual who had assaulted them.",2023-03-07,05:30 PM,7220
23-0112,2023-03-17 04:00:00+00,0100,LACK OF SERVICE,"According to the complainant, on 2-8-23 at 7:10 PM, while in the confines of the 1st District, they did not receive proper service from two unknown officers. They were involved in an auto accident. Officers were flagged down but failed to write a report and allowed the operator of the striking vehicle to leave without showing identification.",2023-02-08,07:10 PM,7221
23-0113,2023-03-17 04:00:00+00,0600,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-15-23 at 11:50 AM, while in the confines of the 6th District, they were improperly stopped by unknown 6th District officers. While walking, they were stopped by police for no reason and threatened with a taser.",2023-03-15,11:50 AM,7222
23-0114,2023-05-01 04:00:00+00,0600,LACK OF SERVICE,"According to the complainant, on 3-16-23, beginning at 5:00 AM, they did not receive proper service from an unknown 911 dispatcher. They called 911 four times for an officer to be dispatched to their parent¿s home. No one responded. At 6:05 AM, the complainant went to the 39th District for help, but was told they had no one to send out and the call was on the board.",2023-03-16,05:00 AM,7223
23-0115,2023-03-21 04:00:00+00,2200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-10-23, their vehicle was improperly ticketed while parked in the driveway due to an officer failing to properly investigate.",2023-01-10,,7224
21-0538,2021-11-16 05:00:00+00,1800,UNPROFESSIONAL CONDUCT,"According to the complainant, on 11-13-21 at 7:25 AM, while in the confines of the 18th District, they were waiting for a friend in their car and they noticed an officer behind them. The complainant states that when their friend got in the car, they began to drive off and noticed that the officer started tailgating them aggressively and flashing their lights at them. The complainant states that it appeared as though the officer was in a hurry, so they pulled over and waved for the officer to pass them. The complainant states the officer became enraged and threatened to ticket them. The complainant states that although the officer did not issue them a ticket, the threat by the officer caused them emotional distress and they believe that their race (National Origin) played a part in this incident.",2021-11-13,07:25 AM,6408
21-0539,2021-11-16 05:00:00+00,1800,VERBAL ABUSE,"According to the complainant, on 11-13-21 at 12:30 AM, while in the confines of the 18th District, they called a Detective Division to inquire about a case they filed against their family member. The complainant spoke to a supervisor and during their conversation, told the complainant that they will not be going through this with them and that they were just wasting their time, as well as law enforcements time. The complainant states that the supervisor told them not to call anymore and to wait for the assigned detective to handle the case. The complainant also states that the supervisor was rude and nasty to them.",2021-11-13,12:30 AM,6409
21-0540,2021-11-16 05:00:00+00,2600,LACK OF SERVICE,"According to the complainant, on 11-13-21 at 12:05 AM, while in the confines of the 26th District, they did not receive proper service from unknown officers. They called 911 after they witnessed their neighbor yell they were going to get their gun. Officers arrived; however, they did nothing. The complainant states that officers never even spoke to them.",2021-11-13,12:05 AM,6410
21-0541,2021-11-17 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 11-12-21, while in the confines of the 39th District, they did not receive proper service from a 39th District officer. They called 911 to make a report against an employee of a housing unit. The complainant states the officer responded, but denied them a report. The officer told them that they had no right to put in a report because the agency helped them get a unit that failed inspection. The complainant states that they called 911 a second time, but no officers ever responded.",2021-11-12,,6411
21-0542,2021-11-18 05:00:00+00,3900,LACK OF SERVICE,"According to the complainant, on 11-12-21 at 11:25 AM, while in the confines of the 39th District, they called 911 because their roommate¿s significant other refused to surrender their keys and leave the premises. The complainant states that they were informed that an officer would arrive shortly but no officer responded.",2021-11-12,11:25 AM,6412
21-0543,2021-11-17 05:00:00+00,0200,LACK OF SERVICE,"According to the complainant, on 11-8-21 at 8:35 PM, while in the confines of the 2nd District, they did not receive proper service from an officer assigned to the Traffic Unit. Their children were involved in a serious auto accident with injuries. The officer responded and failed to prepare a proper report or contact the Accident Investigation Division.",2021-11-08,08:35 PM,6413
21-0544,2021-11-18 05:00:00+00,1400,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-16-21 at 12:11 PM, while in the confines of the 14th District, they were pulled over by officers for not displaying their tag. The complainant states that one of the officers requested their documents but they were pulled out of the vehicle before being given the chance to comply with the officers request. The complainant states the officers searched them, placed them in the back of their patrol car, and searched their vehicle. The complainant requested a supervisor. The complainant states that the supervisor informed them that the reason the officers pulled them out of the vehicle was because they were fidgeting.",2021-11-16,12:11 PM,6414
21-0545,2021-11-18 05:00:00+00,3500,CRIMINAL ALLEGATION,"According to the complainant, on 11-12-21 at 12:21 AM, while in the confines of the 35th District, a lieutenant and several officers entered their place of business and harassed them. The complainant states that the same lieutenant has done this several times. The complainant states that the lieutenant told them to get a lawyer and that they would show them who their connections are. The complainant also states that when they ask the lieutenant for a report, they are never provided with one. The complainant also states that the lieutenant keeps calling their phone for unknown reasons.",2021-11-12,12:21 AM,6415
